id,titulo,eje,base,motivo,resultado_final,motivo_final
C0038,ECCL-AgriNet: Environmental Consistency Contrastive Learning for Smart Agriculture Monitoring Using Image Analytics and IoT Sensors,2,ieee,"relevancia ambigua (eje 2), requiere confirmacion humana",EXCLUIR,"eje 2: aprendizaje de representacion para deteccion de enfermedad/estres visual, no deteccion de anomalias de sensor"
C0051,Temporal Analysis of Environmental Sensor Data for Agricultural Applications,2,scopus,"relevancia ambigua (eje 2), requiere confirmacion humana",EXCLUIR,"eje 2: analisis descriptivo estadistico (media/desvio), sin metodo de deteccion de anomalias"
C0392,Soil Moisture Anomaly Standardized Index (SMASI): A multi-sensor drought index from soil moisture anomalies,2,crossref,"relevancia ambigua (eje 2), requiere confirmacion humana",EXCLUIR,"eje 2: 'anomalia' en sentido climatologico (indice de sequia), no anomalia de calidad de dato/sensor"
C0393,Anomaly Detection for Sensor Manipulation in Matter Enabled-IoT Devices with Faulty Data Injection,2,crossref,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0395,Anomaly detection frameworks for outlier and pattern anomaly of time series in wireless sensor networks,2,crossref,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0398,"Anomaly Detection of Outlier Features from Spatio-temporal Databases of Landsat-8 Sensor, using Cloud Computing Platform",2,crossref,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0424,Digital Transformation in Smart Farm and Forest Operations Needs Human-Centered AI: Challenges and Future Directions,2,openalex,"relevancia ambigua (eje 2), requiere confirmacion humana",EXCLUIR,"eje 2: discusion conceptual amplia sobre IA centrada en humanos, sin metodo concreto de deteccion de anomalias"
C0425,"Precision Farming with Smart Sensors: Current State, Challenges and Future Outlook",2,openalex,"relevancia ambigua (eje 2), requiere confirmacion humana",EXCLUIR,"eje 2: revision amplia de sensores en agricultura de precision, no enfocada en deteccion de anomalias"
C0430,A review of graph-powered data quality applications for IoT monitoring sensor networks,2,openalex,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0431,A Status Quo of Machine Learning Algorithms in Smart Agricultural Systems Employing IoT‐Based WSN,2,openalex,"relevancia ambigua (eje 2), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INDETERMINADO,"eje 2: sin abstract; encuesta amplia de ML en WSN agricola, no queda claro si incluye deteccion de anomalias como tema central"
C0394,Precision of Soil Moisture in Agriculture Land Using Wireless Sensor Networks,2;3,crossref,"relevancia ambigua (eje 2/3), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INDETERMINADO,eje 3: sin abstract; titulo no indica generacion de datos sinteticos
C0399,Wireless soil moisture sensor networks for agriculture,2;3,crossref,"relevancia ambigua (eje 2/3), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INDETERMINADO,eje 3: sin abstract; titulo no indica generacion de datos sinteticos
C0400,Using a gamma-ray spectrometer for soil moisture monitoring: development of the the gamma Soil Moisture Sensor (gSMS),2;3,crossref,"relevancia ambigua (eje 2/3), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",EXCLUIR,"eje 3: desarrollo de hardware de sensor (gSMS), sin contenido de datos sinteticos"
C0401,Real-time soil moisture mapping using scalable RF sensor networks,2;3,crossref,"relevancia ambigua (eje 2/3), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INDETERMINADO,eje 3: sin abstract; titulo no indica generacion de datos sinteticos
C0056,A comparison of graph-based semi-supervised learning for data augmentation,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: aprendizaje semi-supervisado basado en grafos (GSSL) para etiquetar datos no etiquetados; es una técnica de propagación de etiquetas, no de generación/síntesis de datos"
C0083,"A Survey of Automated Data Augmentation for Image Classification: Learning to Compose, Mix, and Generate",3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: revisión de automatización de tecnicas de augmentation (composición/mezcla/generación) para clasificación de imágenes; la mayor parte del objeto central son métodos de composición/mezcla automatizados, análogos a augmentation convencional; no es centralmente una revisión de generación de datos sintéticos"
C0084,"A Survey of Generative Adversarial Networks for Satellite Imagery: Applications, Image Types, Tasks, and Challenges",3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",INCLUIR,
C0085,A Time Series Self-Supervised Contrastive Pretraining Method With Data Augmentation Using Discrepancy of Reconstruction Information Loss,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: aprendizaje contrastivo autosupervisado con augmentation implícita vía autoencoders para construir pares positivos; es una técnica de regularización/representación para pretraining, no genera series sintéticas como artefacto de datos"
C0093,"Advanced Machine Learning Models for Predicting Irrigation Water Quality: A Comparative Study of LSTM, SVM, and XGBoost Algorithms in Rice Cultivation",3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,eje 3: aumento de datos mencionado solo como preprocesamiento menor; aporte central es prediccion de calidad de agua
C0105,An Overview on Timely Detection of Plant Leaf Disorder Using Deep Learning and Machine Learning Models,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: revision de deteccion de enfermedad de hoja; GAN/VAE mencionados tangencialmente, no es el foco"
C0121,Birds Egg Recognition using Artificial Neural Network,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,eje 3: clasificación de imágenes de huevos de aves con ANN y aumento de datos convencional; no presenta generación de datos sintéticos ni transferibilidad directa al problema de tesis
C0125,CC-SSL: A Self-Supervised Learning Framework for Crop Classification With Few Labeled Samples,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: aprendizaje autosupervisado (SSL) para escasez de etiquetas, tecnica distinta de generacion de datos sinteticos"
C0127,Classification and Detection of Rice Crop Using Deep Learning for Smart Agriculture,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,eje 3: utiliza aumento de datos convencional como preprocesamiento para clasificación y segmentación de imágenes; no aborda generación de datos sintéticos
C0144,Crop yield prediction via explainable AI and interpretable machine learning: Dangers of black box models for evaluating climate change impacts on crop yield,3,scopus,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: datos sinteticos usados solo para validar un metodo de interpretabilidad, no es el aporte central"
C0150,Data Augmentation for Human Activity Recognition With Generative Adversarial Networks,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",INCLUIR,
C0173,EID-GAN: Generative Adversarial Nets for Extremely Imbalanced Data Augmentation,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",INCLUIR,
C0226,ICGAN-CRSI: Integrating Conditional Generative Adversarial Networks for Efficient Classification of Remote Sensing Satellite Images,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: aporte central es arquitectura de clasificacion (cGAN usado para clasificar, no para generar datos de entrenamiento)"
C0228,Image augmentation using GAN models in Computer Vision,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",INCLUIR,
C0273,Pixel Perfection: Enhancing Super-Resolution of Satellite Images using Generative Adversarial Networks,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: tecnica de super-resolucion de imagenes, distinta de generacion de datos sinteticos para escasez de entrenamiento"
C0275,PLANTED: A Dataset for Planted Forest Identification from Multi-Satellite Time Series,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: dominio forestal (no agricola/cultivo), augmentation es componente menor de evaluacion de un dataset"
C0308,SITS-BERT ++: Enhancing Satellite Image Time Series Analysis with Novel Architectural and Methodological Innovations,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: usa time warping como técnica de augmentation (transformación de series existentes), análoga a interpolación/escalado convencional; no genera datos sintéticos mediante un método generativo"
C0333,Using GEE to estimate soil moisture with data augmentation and SVR,3,scopus,"sin DOI en el corpus (metadatos incompletos), verificar procedencia manualmente",INCLUIR,
C0337,VR Digital Twin-based Dynamic Dataset Synthesis for Learning Channel Disaster Detection Network,3,ieee,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: dominio de infraestructura de canales/deteccion de grietas, sin transferibilidad directa justificable al estres hidrico de cultivos"
C0402,Tabular Diffusion Models for Soil Data Augmentation: Overcoming Data Scarcity and Privacy Constraints in Precision Agriculture,3,crossref,abstract insuficiente/ausente para confirmar por titulo unicamente,INCLUIR,
C0405,Overcoming data scarcity: A transfer learning framework with fine-tuned neural networks and multi-sensor satellite image fusion for soil moisture estimation,3,crossref,"relevancia ambigua (eje 3), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INDETERMINADO,eje 3: sin abstract; usa transfer learning (no generacion sintetica en sentido estricto) para escasez de datos - limite metodologico ambiguo con eje 1
C0406,Validating Data Interpolation Empirical Orthogonal Functions (DINEOF+) Interpolated Soil Moisture Data in the Contiguous United States,3,crossref,"relevancia ambigua (eje 3), requiere confirmacion humana",INDETERMINADO,"eje 3: interpolacion/reconstruccion de datos faltantes (DINEOF+), frontera ambigua entre imputacion (HU3) y generacion de datos sinteticos (eje 3)"
C0408,"Sensor-Driven Precision Agriculture: Yield Estimation Using Soil Moisture, pH and Temperature Data",3,crossref,"relevancia ambigua (eje 3), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",EXCLUIR,eje 3: titulo no indica contenido de datos sinteticos/augmentation; prediccion de rendimiento sin mencion de generacion de datos
C0435,"Revolutionizing agriculture with artificial intelligence: plant disease detection methods, applications, and their limitations",3,openalex,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: revision amplia de deteccion de enfermedades vegetales, sin foco en generacion de datos sinteticos"
C0441,A Review of the Challenges of Using Deep Learning Algorithms to Support Decision-Making in Agricultural Activities,3,openalex,"relevancia ambigua (eje 3), requiere confirmacion humana",EXCLUIR,"eje 3: revision amplia de desafios de DL en agricultura, sin foco en generacion de datos sinteticos"
C0342,A Hybrid of Interactive Learning and Predictive Modeling for Occupancy Estimation in Smart Buildings,4,scopus,"relevancia ambigua (eje 4), requiere confirmacion humana",INCLUIR,
C0344,"Advancing Machine Learning-Based Streamflow Prediction Through Event Greedy Selection, Asymmetric Loss Function, and Rainfall Forecasting Uncertainty",4,scopus,"relevancia ambigua (eje 4), requiere confirmacion humana",EXCLUIR,"eje 4: 'active learning' usado como estrategia automatica de seleccion de eventos, sin retroalimentacion humana"
C0346,"AI-enabled predictive pipelines for early warning of agricultural pests, plant diseases, and drought",4,scopus,"relevancia ambigua (eje 4), requiere confirmacion humana",EXCLUIR,"eje 4: revision de sistemas de alerta temprana, sin contenido de retroalimentacion humana o recalibracion"
C0355,Data Augmentation On-the-fly and Active Learning in Data Stream Classification,4,scopus,"relevancia ambigua (eje 4), requiere confirmacion humana",INDETERMINADO,eje 4: active learning + data augmentation en clasificacion de streams; no confirma si el oraculo de etiquetado es humano
C0358,Exploring an occupant-involved closed-loop wearable sensing system and online tuning for individualized thermal preference,4,scopus,"relevancia ambigua (eje 4), requiere confirmacion humana",INCLUIR,
C0363,Human-in-the-Loop Hybrid Neuro-Symbolic AI Model for Reliable Data Engineering in High-Stakes Industrial Systems,4,ieee,"relevancia ambigua (eje 4), requiere confirmacion humana",INCLUIR,
C0367,"Integrated Modeling Approaches for Agricultural Digital twins: the role of Process Based Models, Agent Based Models, Machine Learning, and Model Coupling",4,scopus,"relevancia ambigua (eje 4), requiere confirmacion humana",INDETERMINADO,"eje 4: 'feedback' descrito es modelo-granja, no confirma mecanismo concreto de retroalimentacion humana"
C0368,Learning to Assist Different Wearers in Multitasks: Efficient and Individualized Human-in-the-Loop Adaptation Framework for Lower-Limb Exoskeleton,4,ieee,"relevancia ambigua (eje 4), requiere confirmacion humana",INCLUIR,
C0370,Memory-Bounded A/RED: Scalable Active Detection of Rare Relevant Events in Indefinite Length Streams,4,ieee,"relevancia ambigua (eje 4), requiere confirmacion humana",INCLUIR,
C0372,Online Unsupervised Anomaly Detection with Model Explainability and Human-in-the-Loop Feedback,4,ieee,"relevancia ambigua (eje 4), requiere confirmacion humana",INCLUIR,
C0375,SMART-IC: Smart Monitoring and Production Optimization for Zero-waste Semiconductor Manufacturing,4,ieee,"relevancia ambigua (eje 4), requiere confirmacion humana",INCLUIR,
C0411,Human in the Loop: Accelerating Pharmaceutical SLS 3D Printing Through Active Machine Learning,4,crossref,"relevancia ambigua (eje 4), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INCLUIR,
C0442,A Decision Support System for Urban Agriculture Using Digital Twin: A Case Study With Aquaponics,4,openalex,"relevancia ambigua (eje 4), requiere confirmacion humana; abstract insuficiente/ausente para confirmar por titulo unicamente",INDETERMINADO,eje 4: sin abstract; 'sistema de soporte de decision' no confirma mecanismo de retroalimentacion humana
