id,titulo,autores,anio,doi,publicacion,tipo_publicacion,eje,tecnica,dominio_datos,aporte,limitacion,relevancia_tesis,estado_verificacion,fuente_verificacion
C0186,Evaluating Variational Autoencoders for Synthetic Time Series Data Generation in Agricultural and Energy Applications,Abdellah Islam Kafi; Antonio Sanfilippo; Sa'd Abdel-Halim Shannak,2025,10.1109/isie62713.2025.11124773,2025 IEEE 34th International Symposium on Industrial Electronics (ISIE),congreso,3,VAE,Rendimiento de cultivo + carga eléctrica,VAE genera series temporales confiables con dataset pequeño,Validación cruzada limitada a 2 dominios,Referencia metodológica directa (VAE + escasez),verificado,Crossref (título/autores/año/venue coinciden exactamente)
C0317,Synthetic Agricultural Load Data Generation Using TimeGANs,Moaz Zia; Scott Frazier; Hamidreza Nazaripouya,2023,10.1109/naps58826.2023.10318596,2023 North American Power Symposium (NAPS),congreso,3,TimeGAN,Carga eléctrica de riego por pivote central,Genera series sintéticas de baja dimensionalidad fielmente,Dominio energético no hídrico directo,Técnica transferible (TimeGAN),verificado,Crossref (título/autores/año/venue coinciden exactamente)
C0060,A Data-Scarce Digital Twin Framework for Irrigation Decision-Making Using Physics-Constrained Generative AI,Shivram Mohan; Sanidhya Sharma; Minakshi M Unnithan; S Lalitha,2026,10.1109/icssas68835.2026.11559311,2026 4th International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),congreso,3,IA generativa restringida por física,Riego sin histórico,Sintetiza series sin datos históricos y predice humedad de suelo con XGBoost,Validación en un solo caso piloto,Enfoque alternativo a escasez extrema de datos,verificado,Crossref (título/autores/año/venue coinciden exactamente)
C0283,Privacy-Preserving Data Sharing in Agriculture: Enforcing Policy Rules for Secure and Confidential Data Synthesis,Anantaa Kotal; Lavanya Elluri; Deepti Gupta; Varun Mandalapu; Anupam Joshi,2023,10.1109/bigdata59044.2023.10386276,2023 IEEE International Conference on Big Data (BigData),congreso,3,Síntesis de datos + reglas de política,Big data agrícola,Aborda GDPR/privacidad vía generación de datos sintéticos,No evalúa fidelidad estadística en detalle,Vacancia ética/gobernanza de datos (plan de tesis 12.2),verificado,Crossref (título/autores/año/venue coinciden exactamente)
C0409,Generative AI for Synthetic Data Creation: Solving Data Scarcity in Machine Learning,Hardial Singh,2025,10.2139/ssrn.5267914,SSRN (preprint),preprint,3,Revisión GAN/VAE/diffusion,Transversal (no agrícola),Síntesis conceptual de técnicas y desafíos de datos sintéticos,Genérico no agrícola; preprint sin revisión por pares,Marco conceptual transferible central para el eje 3,"verificado como preprint; se buscó version publicada formal y no se encontro (busqueda por titulo en Crossref, 2026-09-06) - se conserva como preprint explicitamente identificado",Crossref (búsqueda por DOI y por título; sin versión publicada formal localizada)
C0214,Generative Adversarial Networks (GANs) for Image Augmentation in Farming: A Review,Zahid Ur Rahman; Mohd Shahrimie Mohd Asaari; Haidi Ibrahim; Intan Sorfina Zainal Abidin; Mohamad Khairi Ishak,2024,10.1109/access.2024.3505989,IEEE Access,artículo de revista,3,Revisión PRISMA (128 estudios),Imágenes agrícolas (plagas/enfermedades/fenotipado),Mapea aplicaciones y vacancias de GAN en agricultura,Solo imágenes no series temporales,Panorama de vacancias para el eje 3,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0254,Maize Growth and Condition Monitoring with Multisensor Remotely Sensed Time Series,Gohar Ghazaryan; Olena Dubovyk; Jonas Schreier; Valerie Graw; Jurgen Schellberg,2019,10.1109/igarss.2019.8898224,IGARSS 2019 - 2019 IEEE International Geoscience and Remote Sensing Symposium,congreso,3,Fusión MODIS/Landsat/Sentinel,Maíz,Genera series sintéticas para rellenar huecos y detectar sequía,Precisión de 3-12 días de desviación,Antecedente directo de imputación/escasez temporal,verificado,Crossref (título/autores/año/venue coinciden exactamente)
C0345,AgriField-Manipur: A human-in-the-loop knowledge-based expert system for farm-level decision support under data scarcity,Elangbam Bony Kumar Singh; Takhellambam Sonamani Singh,2026,10.1016/j.eswa.2026.132522,Expert Systems with Applications,artículo de revista,4,Sistema experto + reglas + ML puntual,Agricultura; decisión a nivel de finca,HITL transparente evita sesgo de automatización,Recomendación fija por temporada,Antecedente directo más cercano al diseño HU5/HU6,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0353,Collaborative Human in the Loop Robotics Framework for Precision Agriculture and Crop Monitoring,Dr.R. Chithra; Dr.M. Raja,2025,10.71086/iajse/v12i4/iajse1287,International Academic Journal of Science and Engineering,artículo de revista,4,Robots + retroalimentación humana,Cultivo; plagas; riego,Balance autonomía/humano con baja frecuencia de intervención,Experimentos tempranos escala reducida,Antecedente de umbral de intervención humana,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0362,Human-Centered AI in Smart Farming: Toward Agriculture 5.0,Andreas Holzinger; Iztok Fister; Iztok Fister; Hans-Peter Kaul; Senthold Asseng,2024,10.1109/access.2024.3395532,IEEE Access,artículo de revista,4,Marco conceptual,Agricultura general,Argumenta necesidad de HITL frente a automatización total,Conceptual sin implementación,Marco narrativo para justificación de HU5/HU6,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0364,Human-In-The-Loop: Role in Cyber Physical Agricultural Systems,Maitreya Sreeram; Shimon Y. Nof,2021,10.15837/ijccc.2021.2.4166,International Journal of Computers Communications & Control,artículo de revista,4,HITL + plataforma colaborativa (HUB-CI),Robots agrícolas; detección de enfermedades,Rol del humano llenando vacíos de conocimiento del robot,Diseño conceptual no evaluado en campo,Antecedente ya usado en hu1-retroalimentacion-humana.md,verificado,Crossref (título/autores/año/revista coinciden exactamente)
C0410,Soliciting Human-in-the-Loop User Feedback for Interactive Machine Learning Reduces User Trust and Impressions of Model Accuracy,Donald Honeycutt; Mahsan Nourani; Eric Ragan,2020,10.1609/hcomp.v8i1.7464,Proceedings of the AAAI Conference on Human Computation and Crowdsourcing,artículo de revista,4,Experimento controlado HITL,Detección de objetos (no agrícola),Feedback humano baja confianza del usuario aunque mejore precisión,No agrícola,Hallazgo crítico para diseño de UI de retroalimentación (HU5); contradice expectativa optimista sobre HITL,verificado,Crossref (título/autores/año/revista coinciden exactamente)
