base,cadena,fecha_ejecucion,eje,cantidad_resultados,observaciones
openalex,"search=soil moisture agriculture synthetic data augmentation sensor scarcity (filter from_publication_date:2019-01-01,to_publication_date:2026-12-31)",2026-09-06,3,20,"Idem metodologia. 8 nuevos incorporados como candidatos para eje 3."
openalex,"search=human feedback human-in-the-loop active learning model recalibration agriculture sensor (filter from_publication_date:2019-01-01,to_publication_date:2026-12-31)",2026-09-06,4,20,"Idem metodologia. 5 nuevos incorporados como candidatos (mas el multi-eje 2;4 ya contado en eje 2)."
doaj,soil moisture water stress crop machine learning predictive model irrigation,2026-09-06,1,4,"Busqueda complementaria via API publica de DOAJ (doaj.org/api/search/articles), revistas exclusivamente de acceso abierto revisadas por pares. Los 4 resultados eran candidatos nuevos y pasaron el cribado, incorporados como candidatos."
doaj,soil moisture agriculture anomaly detection outlier faulty sensor,2026-09-06,2,0,Sin resultados para esta cadena en DOAJ.
doaj,soil moisture agriculture synthetic data augmentation sensor scarcity,2026-09-06,3,0,Sin resultados para esta cadena en DOAJ.
doaj,human feedback human-in-the-loop active learning model recalibration agriculture sensor,2026-09-06,4,0,Sin resultados para esta cadena en DOAJ.
semanticscholar,,2026-09-06,,,"No ejecutada: API publica (api.semanticscholar.org/graph/v1) responde HTTP 429 (rate limit) sin API key propia; requiere registro para clave con mayor limite, fuera de alcance de esta tarea. No se reintento en loop."
core,,2026-09-06,,,"No ejecutada: API v3 (api.core.ac.uk) requiere API key (HTTP 429/401 sin clave); requiere registro, fuera de alcance de esta tarea. No se hizo scraping del sitio web como alternativa."
agris,,2026-09-05 / 2026-09-06,,,"No ejecutada: HTTP 403 a fetch automatizado (SPA con JS), reintentado 2026-09-06 con el mismo resultado que el intento previo del 2026-08-16. Requiere navegacion manual en un navegador, no scripting."
scielo,,2026-09-06,,,"No ejecutada de forma automatizada para las cadenas de este protocolo: search.scielo.org devuelve HTTP 403 a fetch automatizado. La API articlemeta.scielo.org (articlemeta.scielo.org/api/v1) responde HTTP 200 pero no ofrece busqueda de texto libre por cadena booleana, solo recuperacion por codigo de articulo/coleccion ya conocido; no sustituye la cadena documentada del protocolo."
horticultura_argentina,,2026-09-06,,,"No ejecutada de forma automatizada: el sitio no ofrece API publica; buscar por termino requeriria scraping del buscador propio (WordPress), no realizado por regla de no-scraping-masivo. Antecedentes previos ya relevados manualmente y por separado en docs/research/hu1-antecedentes-argentina.md (eje 1 unicamente, busqueda dirigida no automatizada)."
fao / inta,,,,,"Usadas como fuentes de VERIFICACION de procedencia puntual (no de descubrimiento por cadena/keyword) en esta pasada; ningun candidato de este lote reclamaba procedencia FAO/INTA que requiriera esa verificacion especifica."
