"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"GAN-Based Satellite Imaging: A Survey on Techniques and Applications","H. Mansourifar; A. Moskovitz; B. Klingensmith; D. Mintas; S. J. Simske","Department of Systems Engineering, Colorado State University, Fort Collins, CO, USA; VISIMO LLC, Coraopolis, PA, USA; VISIMO LLC, Coraopolis, PA, USA; VISIMO LLC, Coraopolis, PA, USA; Department of Systems Engineering, Colorado State University, Fort Collins, CO, USA",IEEE Access,"15 Nov 2022","2022","10","","118123","118140","Satellite image analysis is widely used in many real-time applications, from agriculture to the military. Due to the wide range of Generative Adversarial Network (GAN) applications in multiple areas of satellite imaging, a comprehensive review is required in this area. This paper takes the first step in this direction by categorizing the GAN-based satellite imaging research using seven considerations. We discuss not only the challenges but also future research trends and directions. Among the major findings, we have observed increasing componentization and modularization of GANs to be used as elements of larger systems. In addition to the GAN types used exclusively in each application, we demonstrate the deep neural network architectures used as the generator structure. Eventually, we summarize the results and evaluate the significant impact of GANs on improving performance compared to traditional approaches.","2169-3536","","10.1109/ACCESS.2022.3221123","U.S. Air Force under Topic Number AFX20C-TCS01 Phase II, Proposal(grant numbers:F2-14785-CGAN ISALD); Conditional Generative Adversarial Network for Infinite Synthetic Aerial Landscape Data(grant numbers:FA864921P1505); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9944659","Generative adversarial network;geo-localization;image to image translation;road extraction;satellite imaging","Satellites;Imaging;Road traffic;Satellite broadcasting;Generative adversarial networks;Task analysis;Data mining","","36","","95","CCBY","9 Nov 2022","2022","","IEEE","IEEE Journals"
"Research on High-Fidelity Industrial Defect Sample Generation Method Based on Crop-Integrate Generative Adversarial Network","K. Chen; Y. Dou; Y. Zhang","School of Computer Science and Technology (College of Data Science), Taiyuan University of Technology, Jinzhong, China; School of Computer Science and Technology (College of Data Science), Taiyuan University of Technology, Jinzhong, China; School of Computer Science and Technology (College of Data Science), Taiyuan University of Technology, Jinzhong, China","2026 IEEE International Conference on Power, Electronics and Green Energy (ICPEGE)","27 Mar 2026","2026","","","321","330","In industrial product quality inspection, the automation of surface defect identification is limited by the scarcity of defect samples and insufficient diversity in defect morphology. Traditional data augmentation methods struggle to generate diversified samples that conform to the real defect distribution, while existing Generative Adversarial Network (GAN) methods focus more on global image generation, leading to lower fidelity of local defect features and unnatural background integration. To address this issue, this study proposes a Crop-Integrate Generative Adversarial Network (CIGAN) based on improved StyleGAN2, featuring innovative techniques such as cropping based on local defect blocks, dual-discriminator cooperative optimization, and a dynamic seam-sealing mechanism based on Poisson blending, achieving automated synthesis of high-fidelity industrial defect samples. Experiments on the NEU steel surface defect dataset demonstrate that the network has improved image similarity and defect diversity. Sensitivity analysis further indicates that each mechanism is not simply stacked but a systematically tailored solution around the characteristics of industrial image defects. CIGAN provides a high-fidelity data augmentation solution for low-sample industrial scenarios, advancing intelligent manufacturing quality inspection systems towards low-cost and high robustness.","","979-8-3315-8601-0","10.1109/ICPEGE67691.2026.11451533","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11451533","Crop-IntegrateGAN (CIGAN);industrial defect data augmentation;surface defect detection;cropping module;dynamic integration mechanism","Location awareness;Image synthesis;Surface morphology;Inspection;Data augmentation;Generative adversarial networks;Data models;Manufacturing;Steel;Optimization","","","","27","IEEE","27 Mar 2026","28-30 Jan. 2026","28-30 Jan. 2026","IEEE","IEEE Conferences"
"Semantic Segmentation Based on Temporal Features: Learning of Temporal–Spatial Information From Time-Series SAR Images for Paddy Rice Mapping","L. Yang; R. Huang; J. Huang; T. Lin; L. Wang; R. Mijiti; P. Wei; C. Tang; J. Shao; Q. Li; X. Du","Institute of Applied Remote Sensing and Information Technology, Zhejiang University, Hangzhou, China; School of Automation, Hangzhou Dianzi University, Hangzhou, China; Institute of Applied Remote Sensing and Information Technology, Zhejiang University, Hangzhou, China; College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, China; Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences, Beijing, China; Institute of Applied Remote Sensing and Information Technology, Zhejiang University, Hangzhou, China; Institute of Applied Remote Sensing and Information Technology, Zhejiang University, Hangzhou, China; Institute of Applied Remote Sensing and Information Technology, Zhejiang University, Hangzhou, China; Institut de Recherche en Informatique de Toulouse (IRIT), CNRS, University of Toulouse, Toulouse, France; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, China; Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, China",IEEE Transactions on Geoscience and Remote Sensing,"19 Jan 2022","2022","60","","1","16","Synthetic aperture radar (SAR) can be used to obtain remote sensing images of different growth stages of crops under all weather conditions. Such time-series SAR images can provide an abundance of temporal and spatial features for use in large-scale crop mapping and analysis. In this study, we propose a temporal feature-based segmentation (TFBS) model for accurate crop mapping using time-series SAR images. This model first extracts deep-seated temporal features and then learns the spatial context of the extracted temporal features for crop mapping. The results indicate that the TFBS model significantly outperforms traditional long short-term memory (LSTM), U-network, and convolutional LSTM models in crop mapping based on time-series SAR images. TFBS demonstrates better generalizability than other models in the study area, which makes it more transferable, and the results show that data augmentation can significantly improve this generalizability. The visualization of the temporal features extracted by the TFBS shows that there is a high degree of intraclass homogeneity among rice fields and interclass heterogeneity between rice fields and other features. TFBS also achieved the highest accuracy of the four deep learning models for multicrop classification in the study area. This study presents a feasible way of producing high-accuracy large-scale crop maps based on the proposed model.","1558-0644","","10.1109/TGRS.2021.3099522","Eramus+ Programme of the European Union(grant numbers:598838-EPP-1-2018-EL-EPPKA2-CBHE-JP); National Major Project of China(grant numbers:09-Y20A05-9001-17/18); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9506988","Data augmentation;feature visualization;generalization ability;temporal feature-based segmentation (TFBS);time-series images","Feature extraction;Agriculture;Data models;Satellites;Deep learning;Radar polarimetry;Remote sensing","","31","","83","IEEE","4 Aug 2021","2022","","IEEE","IEEE Journals"
"Machine Learning-Driven Optimization of Plant Growth Through Dynamic Climate Regulation","K. P. Mayuri; S. Kathavate","Department of Information Science and Engineering, BMS Institute of Technology and Management, Blengaluru, India; Department of Information Science and Engineering, BMS Institute of Technology and Management, Blengaluru, India",2025 5th International Conference on Intelligent Technologies (CONIT),"24 Sep 2025","2025","","","1","6","This paper presents a novel intelligent greenhouse monitoring and management system integrating advanced deep learning techniques, including Convolutional Neural Networks (CNN), Deep Neural Networks (DNN), and Generative Adversarial Networks (GAN). The proposed model enhances precision agriculture by automating dynamic climate control, early plant disease detection, and compensating for limited real-world datasets through synthetic data augmentation. Multi-modal sensor data—temperature, humidity, soil moisture, $\mathbf{p H}$, and $\mathbf{C O}_{\mathbf{2}}$ levels—are continuously collected and analysed by a DNN to optimize environmental parameters and improve energy efficiency. Concurrently, a CNN is employed for accurate classification of plant diseases based on leaf images. Because of dataset limits, GANs construct high-quality artificial images that help expand the training corpus and make the model more reliable. Experiments show that using the integrated system can detect diseases with up to 96% accuracy, reduces labour intervention by more than $70 \%$ and saves $18 \%$ on power use. Real-time sensing, AI making decisions and data enrichment enable the system to successfully support smart, sustainable greenhouse farming on a bigger scale.","","979-8-3315-2233-9","10.1109/CONIT65521.2025.11166909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166909","Precision Agriculture;Deep Learning;Climate Control;Plant Disease Detection;Data Augmentation;IoT;Smart Farming","Precision agriculture;Deep learning;Training;Plant diseases;Accuracy;Green products;Soil moisture;Generative adversarial networks;Convolutional neural networks;Synthetic data","","1","","22","IEEE","24 Sep 2025","20-22 June 2025","20-22 June 2025","IEEE","IEEE Conferences"
"Pearl Millet Disease Detection with Transfer Learning and cGAN-Driven Data Augmentation","M. A S; X. A. Mary; K. Raimond; I. Johnson","Karunya Institute of Technology and Sciences, Coimbatore, India; Department of Robotics, Karunya Institute of Technology and Sciences, Coimbatore, India; Division of Computer Science and Engineering, Karunya Institute of Technology and Sciences, Coimbatore, India; Department of Plant Pathology, TamilNadu Agricultural University, Coimbatore, India",2025 5th International Conference on Pervasive Computing and Social Networking (ICPCSN),"19 Jun 2025","2025","","","344","351","In this study, an advanced method to detect disease in Pearl Millet is proposed wherein Transfer Learning along with Conditional Generative Adversarial Networks (cGANs) are applied for data augmentation. For addressing dataset quality and imbalance problem, the work uses cGANs to generate realistic synthetic images of diseased millet leaves with latent dimensions of 50, 100, and 500. This augmented dataset of plant roots helps improve the classification performance as it provides more quantity and more diversity of training data. For the classification task, six fine-tuned models are used; these are: ResNet-50, ResNet-101, ResNet-152, InceptionResNet, InceptionV3, and VGG-19; optimizer is Stochastic Gradient Descent (SGD). The performance of these models was trained by 100 epochs and evaluated by accuracy, precision, recall, F1 score and ROC curve. However, ResNet-50 and ResNet-152 are among those and their remarkable accuracy of 99% is better than the previous work’s 98% accuracy, proving this integrated approach to disease detection can be effective. The results show that transferring knowledge from a prior set of training data, by applying transfer learning, improves disease classification accuracy, along with applying data augmentation, which allows the creation of additional data, and robust model evaluation, to ensure accurate evaluation.","","979-8-3315-3519-3","10.1109/ICPCSN65854.2025.11034839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11034839","Pearl Millet;Disease Detection;Transfer Learning;Conditional Generative Adversarial Networks (cGAN);ResNet-50;ResNet-101;ResNet-152;InceptionResNet;InceptionV3;VGG-19;Data Augmentation;Accuracy;Precision;Recall;F1-Score;ROC Curve","Pervasive computing;Accuracy;Social networking (online);Transfer learning;Training data;Stochastic processes;Data augmentation;Generative adversarial networks;Data models;Diseases","","","","15","IEEE","19 Jun 2025","14-16 May 2025","14-16 May 2025","IEEE","IEEE Conferences"
"Enhancing Brain MRI Images: Using DC GAN And WGAN For Image Augmentation","M. Abdulla; G. T. Reddy; G. M. V. Sai; S. Srihemanth; K. Afnaan; T. Singh; P. Duraisamy","Department of computer science and engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bangalore, India; Department of computer science and engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bangalore, India; Department of computer science and engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bangalore, India; Department of computer science and engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bangalore, India; Department of computer science and engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bangalore, India; Department of computer science and engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Bangalore, India; University of Wisconsin-Green Bay, Wisconsin, U.S.A",2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),"4 Nov 2024","2024","","","1","7","Generating and detecting MRI images are most beneficial if the illness requires a fast and accurate cure. Concerning the weakness, there have been negative remarks made about DL for violating the privacy of patients. However, it takes a lot of money and time to collect a rich MRI image database to train the model. It has been found out that way too many medical imaging datasets contain imbalanced data, thus making it difficult for the model to find the outliers. Hence, the basic necessity in working with medical images is the process of data augmentation. The regular forms of data augmentation such as rotation, scale, crops, etc., results in images that look very similar and there isn’t a usual variation that is vital in DL algorithms to learn about the characteristics of the images. On the other hand, Generative Adversarial Networks (GAN) have reported the potentiality to generate synthetic data with good generalization to a large image set. It is also important to note that GANs also possess the property of being an cheap in terms of data processing. In this work, we adopted the AGG based on the characteristics of MRI data analysis, and PSNR for the analysis of local information of a source image based on style transfer and multiple GANs for shared information. Style transfer follows aggregation to ensure that the aggregated image is similar to the original images. Then, we perform an analysis of the aggregation and the style transfer and because it drastically reduced the performance, dropped them.","2473-7674","979-8-3503-7024-9","10.1109/ICCCNT61001.2024.10724924","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10724924","cGenerative Adversarial Networks;Synthetic Medical Image Generation;Brain MRI;Data Augmentation","Training;Visualization;Privacy;Magnetic resonance imaging;Medical services;Generative adversarial networks;Data augmentation;Data models;Biomedical imaging;Synthetic data","","1","","24","IEEE","4 Nov 2024","24-28 June 2024","24-28 June 2024","IEEE","IEEE Conferences"
"A Hybrid Deep Learning Framework for Robust Detection of Rice Leaf Diseases Using CNN and Transformer-Based Attention","K. Mostafa; F. Imran; M. Anjum; S. I. Siam","Department of Computer Science and Engineering, International University of Business Agriculture and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, International University of Business Agriculture and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, International University of Business Agriculture and Technology, Dhaka, Bangladesh; Department of Computer Science and Engineering, International University of Business Agriculture and Technology, Dhaka, Bangladesh","2025 International Conference on Quantum Photonics, Artificial Intelligence, and Networking (QPAIN)","29 Sep 2025","2025","","","1","6","Pathogenic microbiological organisms that invade the leaves of cereal crops such as rice could be a disease. In particular, in the areas where rice is the main food and economic crop, the rice leaf disease is a problem. Visual identification of crop diseases is becoming more and more difficult due to the following three reasons: This method is instrumentally demanding, making it not only expensive but also very slow, requires domain competence, and is subject to the human bias of experts in the form of wrong or inconsistent identification. Modern developments in the field of deep learning have significantly advanced the automated classification of plant diseases, particularly the use of Convolutional Neural Networks (CNNs). Therefore, the difficulty of these methods lies in the fact that most of the time they are subjected to the so-called phenomenon of overfitting in controlled situations, lack interpretability, and aren't robust enough in real-world situations with lots of plants but differing backgrounds, and variable lighting. But the main focus of this paper lies in the designof a hybrid deep learning method. In this work, we use CNN for spatialfeatures and transformer-based attention mechanism for modeling long-range dependencies among the leaf image data. In the proposal, by Dual-GAN-based image augmentation, the model is enhanced to make sure that the training dataset is still realistic andmimics actual field conditions. The experimental results in the rice leaf disease datasets that are publicly available and even verified through real field images have shown the proposed technique outperforming standard CNN architectures like ResNet, VGG16, and DenseNet, in terms of both classification accuracy, at 97.8%, and the ability to generalize to multiple disease categories. The new method offers both a verifiable and a scalable response to rice disease detection that has great potential to be used in precision agriculture systems, such as the surveillance of UAV connected to mobile farming applications.","","979-8-3315-9694-1","10.1109/QPAIN66474.2025.11171957","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11171957","Rice leaf disease recognition;deep learning;Convolutional Neural Network (CNN);Vision Transformer (ViT);Dual-GAN (Generative Adversarial Network);attention mechanisms;agricultural AI;image classification","Deep learning;Image recognition;Attention mechanisms;Crops;Transformers;Image augmentation;Convolutional neural networks;Artificial intelligence;Diseases;Farming","","","","15","IEEE","29 Sep 2025","31 July-2 Aug. 2025","31 July-2 Aug. 2025","IEEE","IEEE Conferences"
"Generative Adversarial Network-based Augmented Rice Leaf Disease Detection using Deep Learning","S. T. Y. Ramadan; T. Sakib; M. M. Ul Haque; N. Sharmin; M. M. Rahman","Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, Bangladesh; Department of Computer Science and Engineering, Military Institute of Science and Technology (MIST), Dhaka, Bangladesh",2022 25th International Conference on Computer and Information Technology (ICCIT),"3 Mar 2023","2022","","","976","981","Rice is one of the most produced crops in the world and the staple food in many South Asian countries. Rice leaf disease can affect the production of rice vastly, which can be prevented through the early detection of it. Many machine learning techniques have been used in recent years to help in the prevention of one of the most serious concerns, which is disease transmission.But there are limited images available of diseased leaf compared to healthy images which makes life tougher for machine learning models as they need a good amount of data for training. To solve this problem, a Generative adversarial network(GAN) has been used in recent days to create new, synthetic instances of an image that can pass as a real image. Recently, it has been used widely in the field of leaf disease identification. But there is very limited work done on rice diseases. In this paper, SRGAN (Super Resolution-GAN) has been considered as a data augmentation method to balance the dataset. Afterward, DenseNet121, DenseNet169, MobileNetV2, and VGG16 have been applied to classify the diseases. Experiment results show that the newly created augmented dataset produces the best results with both DenseNet169 and moboleNetV2 when compared to other models, with high accuracy of 94.30.","","979-8-3503-4602-2","10.1109/ICCIT57492.2022.10055716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10055716","Rice disease;Machine learning;Dataset;Data augmentation;GAN;SRGAN","Training;Deep learning;Image resolution;Computational modeling;Asia;Crops;Production","","21","","18","IEEE","3 Mar 2023","17-19 Dec. 2022","17-19 Dec. 2022","IEEE","IEEE Conferences"
"Tomato Leaf Disease Detection Using Conditional GAN-Augmented EfficientNet with Grad-CAM-Based Visual Explainability","K. Vaishnavi; P. P. Reddy; P. A. Sai; M. Ravula; M. A. Jabbar","Dept of CSE(AI&ML), Vardhaman College of Engineering, Hyderabad, India; Dept of CSE(AI&ML), Vardhaman College of Engineering, Hyderabad, India; Dept of CSE(AI&ML), Vardhaman College of Engineering, Hyderabad, India; Dept of CSE(AI&ML), Vardhaman College of Engineering, Hyderabad, India; Dept of CSE(AI&ML), Vardhaman College of Engineering, Hyderabad, India","2026 2nd International Conference on Computing, Communication and Green Engineering (CCGE)","2 Jul 2026","2026","","","1","7","Tomato leaf disease identification is an essential aspect in agricultural productivity, but manual analysis is still a time-consuming process with inaccuracies. Although recent advancements in deep learning algorithms have improved plant disease identification, data imbalance, sample unavailability, and interpretability issues still affect their efficiency. To mitigate these problems, a hybrid deep learning solution with Conditional GAN, EfficientNet, and Grad-CAM for class-aware data augmentation, robust classification, and visual interpretability, respectively, is proposed in the paper. The cGAN models a plausible data sample for diseased leaf images, increasing data diversity and preventing overfitting, and EfficientNet attains superior classification accuracy on augmented multi-class data on tomato leaf diseases. Finally, Grad-CAM enables inherent visualization of diseased areas on leaf images, thereby enhancing interpretability and user confidence in the identification process. The proposed solution attains an accuracy of 97% in identifying leaf diseases and copes with imbalanced data issues, thereby establishing a justification for its reusability in agricultural monitoring. Future research would focus on lightweight models for agricultural extension, especially in multi-crop leaf diseases for smart agriculture purposes.","","979-8-3315-8888-5","10.1109/CCGE67142.2026.11581672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11581672","Tomato Leaf Disease Detection;Conditional GAN;EfficientNet;Grad-CAM;Deep Learning;Explainable AI;Precision Agriculture","Diseases;Modeling;Signal detection;Cams;Computer aided manufacturing;Deep learning;Printing;Accuracy;Industrial plants;Plants (biology)","","","","24","IEEE","2 Jul 2026","7-8 May 2026","7-8 May 2026","IEEE","IEEE Conferences"
"Enhancing Plant Disease Identification through Innovative Image Synthesis: A Study of InstaGAN and Data Augmentation in Agriculture","K. Lee; A. Muhammad; C. Lim; J. Hyeon; D. Han","Department of Computer Engineering, Sejong University, Seoul, Republic of Korea; Department of Computer Engineering, Sejong University, Seoul, Republic of Korea; Department of Computer Engineering, Sejong University, Seoul, Republic of Korea; Department of Computer Engineering, Sejong University, Seoul, Republic of Korea; Department of Computer Engineering, Sejong University, Seoul, Republic of Korea",2023 IEEE International Conference on Consumer Electronics-Asia (ICCE-Asia),"27 Nov 2023","2023","","","1","3","This study explores the growing implementation of artificial intelligence (AI) technology, particularly in agriculture, where AI-driven object detection enhances efficiency. Deep learning's potential for plant disease identification is hampered by data scarcity. To address this, data augmentation techniques like Generative Adversarial Networks (GANs) are employed, with models like InstaGAN contributing to image synthesis. InstaGAN's innovative approach, integrating instance information and contextual preservation, is examined using the ""Plant Village"" dataset. The study underscores the value of InstaGAN in mitigating data limitations through synthesized image augmentation, showcasing promising outcomes in comparison to alternative models.","","979-8-3503-4431-8","10.1109/ICCE-Asia59966.2023.10326352","National Research Foundation of Korea; Technology Development; Rural Development Administration; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10326352","GAN;Agriculture;Data Augmentation;Image Synthesis;Plant Disease Identification","Plant diseases;Image synthesis;Plants (biology);Object detection;Data augmentation;Generative adversarial networks;Data models","","1","","14","IEEE","27 Nov 2023","23-25 Oct. 2023","23-25 Oct. 2023","IEEE","IEEE Conferences"
"Wind Power Modeling based on Data Augmentation and Stacking Integrated Learning","W. Zha; Y. Jin; Z. Li; Y. Li","School of Electrical, Mechanical and Information Engineering, China University of Mining and Technology (Beijing), Beijing; School of Electrical, Mechanical and Information Engineering, China University of Mining and Technology (Beijing), Beijing; China Airport Construction Group Co., Ltd, Beijing; School of Electrical, Mechanical and Information Engineering, China University of Mining and Technology (Beijing), Beijing",2022 41st Chinese Control Conference (CCC),"11 Oct 2022","2022","","","5554","5559","In order to improve the modeling accuracy, this paper investigates the problem of the wind power modeling method based on the data augmentation technology and stacking integrated learning algorithm. First, since the raw wind power data are scarce and unevenly distributed, various flexible data augmentation techniques including jittering, scaling, magnitude warping, and time warping are used to transform the original data to expand the dataset. Then, in order to build a stacking integrated model of wind power, the Long Short-Term Memory (LSTM), Gated Recurrent Unit (GRU), and Convolutional Neural Network (CNN) based on time domain are selected as primary learners, and a stable Support Vector Regression (SVR) algorithm is used as a secondary learner. Finally, the ablation and comparative experiments are conducted according to the measured data of a wind farm in China. The experimental results show that the data augmentation technique significantly improves the robustness of each learner, and the proposed stacking integrated model is more effective compared with the single learner model, whose modeling accuracy has been effectively improved.","1934-1768","978-988-75815-3-6","10.23919/CCC55666.2022.9902347","National Natural Science Foundation of China(grant numbers:61703405); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9902347","Wind farm;Wind power modeling;Data augmentation;Integrated learning;Regression algorithms","Wind speed;Stacking;Distributed databases;Wind power generation;Predictive models;Wind farms;Data models","","1","","15","","11 Oct 2022","25-27 July 2022","25-27 July 2022","IEEE","IEEE Conferences"
"A Generative Adversarial Network Approach to Metastatic Cancer Cell Images","S. Lee; H. Kim; H. Higuchi; M. Ishikawa; R. Natato","Laboratory of Computational Genomics, Institute for Quantitative Bioscience, The University of Tokyo, Tokyo, Japan; Department of Mechanical and Biofunctional Systems, Institute of Industrial Science, The University of Tokyo, Tokyo, Japan; Department of Physics, Graduate School of Science, The University of Tokyo; Data Science Research Division, Information Technology Center, The University of Tokyo, Tokyo, Japan; Laboratory of Computational Genomics, Institute for Quantitative Bioscience, The University of Tokyo, Tokyo, Japan",2022 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),"1 Mar 2022","2022","","","403","406","The shapes of metastatic cancer cells are considered to be relatively different from non-metastatic cancer cells, especially regarding the degree of development of lamellipodia or the pattern of internal organ arrangement. However, understanding the specific pattern of the metastatic cancer cell has just started to emerge. In this paper, based on the generative adversarial network approach, we attempted to generate metastatic cancer cell images using human breast cancer cells where the metastasis-promoting protein, PAR1, is expressed.","","978-1-6654-5818-4","10.1109/ICAIIC54071.2022.9722664","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9722664","generative adversarial network;cell image classification;breast cancer cell;biomedical image analysis;deep learning","Proteins;Shape;Microscopy;Image edge detection;Morphology;Learning (artificial intelligence);Observers","","","","22","IEEE","1 Mar 2022","21-24 Feb. 2022","21-24 Feb. 2022","IEEE","IEEE Conferences"
"A Robust Image Watermarking Approach for Application in AI Generated Images","T. A. Aditto; M. R. Shahariar; H. Imtiaz","Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh; Department of Electrical and Electronic Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladesh",2024 13th International Conference on Electrical and Computer Engineering (ICECE),"12 Jun 2025","2024","","","403","408","In this work, we present a novel approach to enhance the robustness of image watermarking through the integration of Convolutional Neural Network (CNN) and Generative Adversarial Network (GAN). The utilization of CNN facilitates the encoding and decoding of watermarks within images, while GAN and subsequent image post-processing techniques ensure robustness against unlawful removal of watermarks. Given the increasing significance of watermarking for data integrity and privacy, development of a robust watermarking algorithm is of critical importance. To this end, we propose to incorporate a pre-trained CNN model to decode watermarks associated with the output of the generator of the GAN model. We argue that the transferability of watermarks from training images to the generated images ensures accurate retrieval of watermark from generated images. We further enhance the efficiency and robustness of our proposed watermark embedding process through fine-tuning and data augmentation.Experimental results on the CelebA dataset validate our approach, achieving 93% accuracy in watermark detection, a Fréchet Inception Distance (FID) score of 14.09, and approximately $80 \%$ accuracy under heavy perturbations (noise standard deviation $=10$). These results demonstrate the adaptability of our method across diverse GAN architectures, tasks, and image resolutions, as well as its resilience to post-processing techniques such as JPEG compression, noise addition, and blurring.","2771-7917","979-8-3315-3178-2","10.1109/ICECE64886.2024.11025115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025115","Convolutional Neural Network (CNN);Generative Adversarial Network (GAN);image post-processing;watermark;robust watermark","Data privacy;Accuracy;Image coding;Noise;Watermarking;Intellectual property;Fingerprint recognition;Generative adversarial networks;Robustness;Convolutional neural networks","","1","","30","IEEE","12 Jun 2025","18-20 Dec. 2024","18-20 Dec. 2024","IEEE","IEEE Conferences"
"Advancing Plant Health: Leveraging Machine Learning for Precision Leaf Detection in Agriculture","S. Das; P. Das; N. Bhattacharya","Dept. of Computer Science and Engineering, Adamas University, Kolkata, West Bengal, India; Dept. of Computer Science and Engineering, Adamas University, Kolkata, West Bengal, India; Dept. of Computer Science and Engineering, Adamas University, Kolkata, West Bengal, India","2025 IEEE 1st International Conference on Smart Innovations in Systems, Infrastructure, Mechanical, Power, AI and Computing Technologies (SISIMPACT)","26 Mar 2026","2025","","","524","528","In agricultural and botanical applications, accurate leaf detection underpins plant classification, disease identification, and yield estimation. Conventional image processing pipelines face performance degradation under intra-class shape variation, illumination change, occlusion, and complex backgrounds. We present a Generative Adversarial Network (GAN)–driven framework that augments scarce and imbalanced plant-leaf datasets with diverse, high-fidelity synthetic imagery, thereby strengthening downstream machine learning performance. Our system integrates Progressive Growing GANs (PGGAN), transfer learning with state-of-the-art Convolutional Neural Networks (CNN; ResNet, EfficientNet), Faster R-CNN for lesion localization, hybrid K-Nearest Neighbors (KNN)+Principal Component Analysis (PCA) for low-resource inference contexts, and custom loss formulations (weighted cross-entropy, focal loss) to prioritize severe disease classes. Experimental evaluation demonstrates consistent performance gains across accuracy, precision, recall, F1-score, and mean Intersection-over-Union (mIoU) when GAN-augmented data are incorporated. Notably, Faster R-CNN with GAN augmentation achieved 97.1% accuracy and 92.3 mIoU, while CNN+GAN achieved 96.7% accuracy. These results highlight the promise of synthetic-data–driven, multi-model pipelines for robust, scalable, and early plant disease detection in precision agriculture.","","979-8-3315-5787-4","10.1109/SISIMPACT67725.2025.11439525","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11439525","Plant leaf detection;Generative Adversarial Networks (GANs);deep learning;synthetic data generation;occlusion handling;precision agriculture;plant disease diagnosis;transfer learning;multi-modal fusion","Precision agriculture;Location awareness;Plant diseases;Accuracy;Plants (biology);Transfer learning;Pipelines;Generative adversarial networks;Convolutional neural networks;Lesions","","","","23","IEEE","26 Mar 2026","28-29 Nov. 2025","28-29 Nov. 2025","IEEE","IEEE Conferences"
